titulo;tags;ano;mes
Unisys prevê avanços em biometria e Inteligência Artificial para transformação digital dos serviços financeiros;Matérias;2018;02
Stefanini investe em modelo Ágil para acelerar a transformação digital nas empresas;Matérias;2017;12
SAP aposta em coinovação para acelerar a transformação digital;Inovação, Matérias;2017;08
Relatório Global traz novos insights sobre como fazer a transformação digital funcionar;Matérias;2017;06
Google e SAP ampliam parceria para acelerar transformação digital dos clientes;Matérias;2017;05
IBM desenvolve plataforma para integrar dados da cadeia do agronegócio e acelerar a transformação digital do campo;Matérias;2017;04
Microsoft e BID se unem para acelerar a transformação digital na América Latina;Matérias;2017;03
Stefanini intensifica investimentos em ofertas voltadas à transformação digital;Matérias;2016;12
Infor recebe investimento de US$2 bilhões para alavancar a transformação digital em diversas indústrias;Matérias;2016;11
Evento aborda o tema transformação digital para as universidades. Saiba mais!;Matérias;2016;04
A transformação digital na Natura, confira com o CIO Agenor Leão;Matérias;2015;11
Cisco e Deloitte apresentam resultados de pesquisa sobre tendências na digitalização brasileira pós-pandemia;Inovação, Matérias;2020;09
Acesso Digital recebe aporte de R$ 580 milhões liderado pela General Atlantic e SoftBank;Investimentos, Matérias;2020;09
Empreendedora cria startup de “cheiro digital” e promete nova experiência de compra de perfumes;Inovação, Matérias;2020;09
Neobpo adquire startup paranaense e reforça posicionamento digital;Fusões e Aquisições;2020;08
Reputação de marca e segurança digital: o que fazer agora que meu negócio está na internet?;Artigo, Matérias;2020;08
Adobe e IBM anunciam parceria estratégia para promover experiência digital através de nuvem híbrida;Matérias;2020;07
Hiperautomação para a transformação exponencial do negócio;Artigo, Matérias;2020;06
Edital oferece até R$ 14 milhões para digitalizar empresas no Nordeste;Matérias;2020;06
Especialistas de tecnologia dão dicas para pequenos empreendedores estruturarem os negócios no mundo digital;Matérias;2020;06
Futurecom 2020 promove Digital Summit e debate o mundo além da pandemia;Matérias;2020;06
Digitalização de processos reduz custos das empresas durante a pandemia;Coronavírus, Matérias;2020;06
SoftBank aposta na transformação do mercado pela inteligência artificial;Canal Exame.com;2020;05
Transformação provocada por covid-19 não pode interromper os negócios;Espaço do Empreendedor;2020;05
Startup de recrutamento digital capta R$ 40 milhões;Investimentos, Matérias;2020;05
Ifood ajuda estabelecimentos a migrarem para o digital e apostarem no delivery;Coronavírus, Matérias;2020;04
Como a Rappi está ajudando na digitalização de empresas durante a pandemia;Coronavírus, Matérias;2020;04
Cisco do Brasil e hospital paulista assinam parceria na área de saúde digital;Matérias;2020;04
Com o objetivo de desenvolver o mercado digital de Portugal, Expo Fórum Digitalks chega à sua 2º edição em Lisboa;Matérias;2020;03
Inovação digital no setor de Óleo & Gás;Artigo, Matérias;2020;03
Câmara Brasil-Alemanha São Paulo vai oferecer curso de digitalização para mulheres;Matérias;2020;02
Ebanx lança conta digital para entrar no segmento de produtos para o consumidor;Matérias;2020;01
Nova internet? Conheça a estratégia da Cisco para impulsionar a inovação digital;Matérias;2019;10
Nova versão da Carteira Digital de Trânsito já está disponível;Matérias;2019;11
Maior evento de maketing digital da América Latina reúne 12 mil pessoas em Florianópolis;Matérias;2019;11
Startup anuncia Série A de US$10 milhões para levar veículos comerciais ao mundo digital;Matérias;2019;10
Carrefour Brasil compra de 49% de fintech e entra no mercado de conta digital;Matérias;2019;10
“Essa é a Era da Adaptualização”, diz Dado Schneider em palestra no Digitalks;Matérias;2019;08
Como as venture builders se tornaram protagonistas na revolução digital;Artigo, Matérias;2019;08
Entre cliques e gôndolas, a transformação do seu negócio é imediata;Artigo, Matérias;2019;07
Uma visão sobre as tendências na área de Marketing Digital;Espaço do Executivo;2019;07
Siemens inaugura primeiro Centro de Experiência Digital;Matérias;2019;07
Engineering lança Digital Lab para concentrar suas iniciativas de inovação;Inovação, Matérias;2019;06
Confira o que vai rolar no Expo Fórum Digitalks, principal evento de negócios digitais do país;Matérias;2019;06
2º dia do Superlógica Xperience discute tendências do mercado de pagamentos e do marketing digital;Matérias;2019;06
Fintechs e a transformação no atendimento ao cliente;Artigo, Matérias;2019;06
ZMOT: A chave para o sucesso digital;Artigo;2019;05
Qualcomm anuncia projeto de digitalização para Cidades Inteligentes no Cazaquistão;Inovação, Matérias;2019;04
O desafio de liderar em um mundo de transformação;Artigo, Matérias;2019;04
O varejo digital será físico: veja como a tecnologia ajuda na jornada do consumidor;Artigo, Matérias;2019;04
Segunda edição do Digital Summit traz 90 palestras de tecnologia e inovação de graça em dezembro;Matérias;2018;11
Carrefour Brasil compra 100% de plataforma de conteúdo digital;Fusões e Aquisições, Matérias;2018;11
Porto Digital: 18 Anos e uma Breve Cronologia (Parte II);Artigo, Matérias;2018;11
O que rolou no Digitalks 2018?;Artigo, Matérias;2018;09
Capacitação gratuita do BID prepara pessoas, empresas e instituições para desafios no ambiente digital;Matérias;2018;08
A nova era da experiência digital;Artigo, Matérias;2018;07
ESPM e aceleradora ACE lançam Digital Business Lab;Espaço Universitário;2018;07
Vem aí o Expo Fórum Digitalks, principal evento de negócios digitais do País;Matérias;2018;07
Cisco apresenta estudo global sobre preparação digital dos países;Matérias;2018;06
Estudo revela prioridades de digitalização dos negócios no Brasil;Matérias;2018;05
Empresa brasileira de Agricultura Digital é indicada ao AgFunder Innovation Awards 2018;Matérias;2018;02
A transformação do mercado audiovisual;Artigo, Matérias;2018;01
“A Duratex já é uma empresa digital”, Colaboradores e mercado se unem para pensar em novos negócios e serviços para divisão Madeira;Matérias;2017;12
Stefanini adquire Gauge, consultoria de marketing digital e performance;Fusões e Aquisições, Matérias;2017;12
Startup de recrutamento digital recebe aporte de R$14 milhões;Matérias;2017;10
Saint-Gobain lança maratona digital com duração de três meses e foco inovador em IOT;Matérias;2017;06
Porto Digital apresenta o REC’n’Play,  festival de  experiências digitais criativas;Matérias;2017;10
SP MakerWeek promoverá interação de crianças com o universo da fabricação digital;Matérias;2017;09
Com aporte de R$ 5 milhões, Intellibrand redefine relação entre Indústria e Varejo na América Latina com o Digital Trade Marketing;Matérias;2017;09
SAP faz parceria com plataforma digital para capacitar e conectar mulheres a mais empregos remotos;Matérias;2017;08
7ª edição da Virada Empreendedora debate temas que vão desde diversidade até marketing digital para startups;Matérias;2017;06
