;titulo;description;data
10;Coronavírus: como a pandemia acelerou a transformação digital d...;"... da SingularityU Brazil, o resultado foi uma aceleração do processo de transformação digital.

	saiba mais
	
			Saiba como evitar.... Em entrevista, no episódio desta quinta-feira (07/05) do podcast NegNews, ele fala sobre a transformação digital causada pelo novo...";02/07/2020 17h50
11;Oi investe em soluções digitais e é reconhecida como a empresa ...;"... conseguindo auxiliar seus clientes no processo de transformação digital.

	E essa estratégia mostrou-se ainda mais acertada no... de soluções digitais, intitulada Oi Soluções.

	No centro do trabalho está o conceito de inovação, pilar estratégico no...";há 5 dias
12;Coronavírus: como essa startup especializada em transformação d...;... crescer mesmo em meio à crise. Especializada em transformação digital, a empresa espera que 2020 seja um ano de expansão, na contramão... digital uma oportunidade para seguir operando. Foi o que fez com que a CWS, startup fundada por Fernando Cymrot, conseguisse...;02/07/2020 17h34
13;Governo faz parceria com empresa para ações de transformação di...;"... de “transformação digital”.

	saiba mais
	
			Vendas da indústria e varejo caíram mais de 30% de março para abril
		
			Governo vai... uma parceria com a empresa internacional de tecnologia Cisco para ações relacionadas à adoção de tecnologias digitais em diversas...";27/05/2020 18h48
14;Coronavírus: Nestlé precisou inovar para não deixar faltar alim...;"... a companhia, é uma responsabilidade importante. É o que diz Carolina Sevciuc, diretora de transformação digital da Nestlé Brasil. 

	saiba... os demais episódios:

	+ Como a Cargill buscou a inovação para enfrentar a pandemia
	+ A transformação de três anos em três meses no...";há 2 dias
15;O impacto da transformação digital na infraestrutura de transpo...;... de transformação digital. Tecnologias baseadas em internet das coisas (IoT), inteligência artificial (IA) e computação em nuvem têm... aeroportos, da Arthur D. Little (consultoria norte-americana), podemos definir o processo de transformação digital da infraestrutura...;28/02/2020 07h00
16;Bunge anuncia parceria para permitir originação digital de grão...;"... com o maior footprint de silos e fábricas de processamento de soja no país"", destacou.

	No caminho rumo à transformação digital... digital no Brasil.

	""O agronegócio sempre foi muito inovador da porteira para dentro e, agora, a Bunge está liderando o movimento...";22/09/2020 14h18
17;Acesso Digital recebe aporte de R$ 580 milhões da General Atlan...;..., fundador e CEO da Acesso Digital, afirmou que o aporte vai permitir à companhia ampliar sua participação no mercado de transformação... de continuar forte na capitalização da transformação digital e em seu crescimento como empresa. Estamos entusiasmados com a parceria...;21/09/2020 21h44
18;Podcast: Marco Stefanini fala sobre as dores da transformação d...;... necessário, há sete anos, começar um trabalho de transformação digital dentro da empresa. É uma nova forma de trabalhar, de lidar... trabalho a fazer para se prepararem para a nova economia digital. Desde 1987, a Stefanini trabalha com tecnologia. Mesmo assim, foi...;04/03/2020 13h31
19;Coronavírus: o que os donos do Pirajá e Bráz Pizzaria fizeram p...;"... não deixar faltar alimentos durante pandemia
	+ A transformação de três anos em três meses no Carrefour
	+ Como o Uber Eats acelerou... pelo Telegram. É só clicar neste link.

	Quer conferir os conteúdos exclusivos edição de Setembro/2020 de Época NEGÓCIOS? Tenha acesso à versão digital....";há 2 dias
20;A relação com o consumidor mudou – e entender isso é chave para...;"... microaprendizados
	

	Na Ambev, Jean relata que o histórico da empresa já no caminho da transformação digital permitiu trazer soluções...
	Digitalização: pandemia acelerou negócios digitais (Foto: G.Lab)

	 

	 

	Volátil, Incerto, Complexo e Ambíguo. Essas quatro...";há 2 dias
21;Singularity abre hub de inovação no Brasil;"...: como a pandemia acelerou a transformação digital das empresas
	

	Assim como muitos projetos, o Learning Village também precisou ser... e digitais, além da possibilidade de criação de programas conjuntos com a SingularityU Brazil.

	O hub já conta com parceiros...";há 2 dias
22;Coronavírus: como o Uber Eats acelerou o lançamento de novos se...;"...
	+ Nestlé precisou inovar para não deixar faltar alimentos durante pandemia
	+ A transformação de três anos em três meses no... edição de setembro/2020 de Época NEGÓCIOS? Tenha acesso à versão digital.

	Quer receber as notícias de Época NEGÓCIOS pelo WhatsApp...";há 2 dias
23;Como a Somos Educação quer usar a neurociência na sala de aula;"... na ciência e ajudando-os a aplicá-los”, diz Ghio. “É a transformação digital chegando na escola, o que tem se mostrado... Educação.

	“Isso nos ajuda até a entender que a aula digital talvez demande uma pedagogia complementamte diferente. O que a gente...";há 1 dia
24;“Nenhuma transformação digital é indolor”, diz Marco Stefanini;"...
	Marco Stefanini, CEO global da Stefanini (Foto: Época Negócios)

	 

	Esqueça a ideia de que a transformação digital....

	Trabalhar a transformação digital, diz Marco, significa mudar a mentalidade dos profissionais, quebrar silos e criar novos...";11/12/2019 10h08
25;Quais carreiras entram em 2020 em alta por causa da transformaç...;"...
	Organizações pressionadas pela transformação digital e pela necessidade de inovar buscam novas competências... por conta da transformação digital (as indicações de salários se referem a quatro faixas dentro do mesmo grupo profissional...";07/12/2019 12h09
26;Transformação digital, cultura e trapezistas;"...
	Apresentação do Cirque Du Soleil (Foto: Getty Images)

	 

	Se você quer entender de transformação digital, procure... voltadas para si mesmas, somos viciados em trazer melhorias incrementais, em digitalizar o que sempre existiu.
	Transformação digital...";09/08/2019 07h01
27;Com aquisições e parcerias, CVC prepara sua transformação digit...;"... a transformação digital”
		
			Avianca e Azul fecham acordo de codeshare
	

	Para se adequar ao novo consumidor e se tornar uma empresa... computador etc. Oferecem a experiência completa.

	+“Ainda estamos no começo da transformação digital”, diz Michael Dell

	Você...";14/10/2019 11h38
28;4 coisas que você deve saber antes de iniciar uma transformação...;"...
	4 reflexões importantes sobre transformação digital (Foto: Shutterstock)

	 

	O termo “transformação digital” tem sido usado....

	saiba mais
	
			Transformação digital pode gerar grande impacto econômico global
		
			“Ainda estamos no começo da transformação...";18/11/2019 09h16
29;A transformação digital pode deixar o o varejo mais humano;"Ricardo Guinâncio, CEO da consultoria O Negócio do Varejo, durante o LATAM Retail Show (Foto: Divulgação)

	 

	""Entrar em uma loja, selecionar o produto, pagar e sair são passos realizados automaticamente pela maioria dos consumidores. Mas as novas tecnolog";28/08/2019 19h59
30;Transformação digital pode gerar grande impacto econômico globa...;"...
Transformação digital pode gerar grande impacto econômico global (Foto: Shutterstock)

	 

	A digitalização de indústrias... “transformação digital”, envolve a coleta e processamento de grandes quantidades de dados, a aplicação de uma série de novas...";14/11/2019 08h50
31;“Nem todas empresas estão prontas para a transformação digital”;"..., ferramentas e treinamentos estratégicos focados na transformação digital de grandes corporações.

	Seus programas, geralmente de curta... força, com a alta demanda de companhias pedindo ajuda para fazer a transformação digital. Esse formato colaborou para que Nathalie...";07/09/2019 08h01
32;Acelere a transformação digital do time de vendas;"...
	A transformação digital pode dar mais visibilidade ao time comercial no processo de vendas (Foto: Getty Images...)

	 

	A tecnologia é uma ferramenta  poderosa no mundo corpora tivo. Para adotar a transformação digital e levar a inovação para cada...";12/06/2019 11h21
33;Como a transformação digital pode influenciar no plano de carre...;"... como as pessoas trabalham.

	saiba mais
	
			Transformação digital não pode perder o foco no cliente
		
			Diversidade também faz bem... certamente ser feitas por recursos digitais (Foto: Shutterstock)

	 

	Quem atua no mundo corporativo já percebeu que as transformações...";14/08/2019 09h00
34;Transformação digital: por que não paramos de falar sobre isso?;"...
	É preciso de uma forte liderança para agir a favor da transformação digital (Foto: Pexels)

	 

	A digitalização chegou... perigoso do que isso é adiar essa transformação.

	O que é transformação digital?
	A transformação digital é uma mudança...";11/04/2019 08h11
35;Transformação digital do governo é tema de encontro em São Paul...;"... a transformação digital na gestão da capital paulista e levar a cultura da inovação para os mais de 120 mil servidores. ""Nesse processo... de plataformas digitais para o cidadão e a sistematização e digitalização de serviços públicos.

	Desafios e soluções

	Para o Secretário...";07/08/2019 19h13
36;Equilíbrio entre gerações é fundamental para a transformação di...;"... de lado o seu propósito (Foto: Getty Images)

	 

	A transformação digital é hoje um dos maiores desafios das empresas. Para conseguir...
		
			Como a transformação digital pode influenciar no plano de carreira
	

	Essa foi uma das conclusões do encontro...";21/08/2019 18h33
37;Como a cultura de inovação ajudou Einstein e Eurofarma a enfren...;..., como o da transformação digital”, disse Sidney. O CEO destacou que o Einstein já atua com telemedicina desde 2012 e também vem investindo... na promoção da saúde primária, dois pontos que se mostraram fundamentais durante a crise sanitária. A transformação digital...;há 3 dias
38;Transformação digital não pode perder o foco no cliente;"... transformação digital, que precisa ter o cliente no centro e a melhoria de processos como pressuposto.

	*Flávi..., porém, para que nessa transformação as empresas mantenham, o tempo todo, aquilo que é fundamental: o foco no cliente...";31/07/2019 08h01
39;Conselho da Petrobras elege diretor-executivo de Transformação ...;"...
	Conselho da Petrobras elege diretor-executivo de Transformação Digital e Inovação (Foto: Tânia Rêgo/Agência Brasil...)

	 

	O conselho de administração da Petrobras  elegeu na véspera Nicolás Simone para o cargo de diretor-executivo de Transformação Digital...";26/09/2019 09h37
40;“Ainda estamos no começo da transformação digital”, diz Michael...;".... “Os próximos 30 ou 35 anos serão ainda mais animadores por causa da transformação digital, com tudo se tornando inteligente e tantos dados.... A jornada digital está apenas começando”, afirma.

	Ele diz, contudo, que é muito comum o medo acompanhar a transformação...";01/10/2019 17h25
41;Como a Cielo e o Hospital Albert Einstein adaptam suas culturas...;... organizacional e transformação digital são dois fatores que não podem ser separados. A capacidade técnica é importante para conseguir... que a transformação digital só é possível se houver um trabalho também sobre a cultura. “O sucesso de uma empresa está relacionado à capacidade...;03/09/2019 14h54
42;4 motivos para a transformação digital dar errado, segundo Cesa...;"...
	Cesar Gon, cofundador da CI&T, empresa especializada em transformação digital (Foto: Divulgação)

	 

	Co-fundador e CEO da CI...&T — parceira na transformação digital de empresas como Coca-Cola, Itaú, Embraco e Vivo —, o engenheiro de computação Cesar Gon...";17/09/2019 06h00
43;Saiba como as empresas estão se adaptando às novas formas de tr...;"... coisas que você deve saber antes de iniciar uma transformação digital
		
			“Ainda estamos no começo da transformação digital”, diz..., elaborada pela Tera, escola de desenvolvimento de habilidades digitais, em parceria com a Scoop&Co, agência de pesquisa de mercado...";28/11/2019 08h36
44;Como preparar sua empresa para a transformação digital;"...
	Qual é o impacto da transformação digital nos negócios? (Foto: Reprodução/Pexel)

	A transformação digital começa pelas pessoas... brasileiros a buscar o mercado global
		
			Transformação digital e os desafios da educação na América Latina
	

	Subiram ao palco...";02/04/2019 20h31
45;6 formas de crescer na transformação digital, segundo o CDO da ...;"...
	Andrea Iorio, autor do livro ""6 competências para surfar na transformação digital"" (Foto: Divulgação)

	 

	A transformação... e atual Chief Digital Officer da L’Oreal. Ele reuniu suas descobertas no livro “6 competências para surfar na transformação digital...";06/09/2019 07h01
46;"""Faremos com que novos players possam participar do open bankin...";"... a transformação"", completou. Damaso disse que o regulador tem olhado com atenção os riscos desse processo digital...";há 5 dias
47;Com encontros pessoais, empresa quer ajudar executivos a lidar ...;"...
	Empresa quer ajudar líderes a se preparar a transformação digital dentro das empresas (Foto: Getty Images)

	O acelerado ritmo... colocadas pela transformação digital.

	saiba mais
	
			“Se seu setor está sendo transformado por startups, é preciso tomar decisões...";21/08/2019 09h04
48;BNDES lança linha de crédito voltada para Indústria 4.0;"... voltados para a pequena e média empresa.

	A nova linha visa a modernização das empresas, estimulando a transformação digital..., Tecnologia e Inovações, Julio Semeghini, sustentou que a ideia é que a transformação digital possa avançar no país. Segundo...";há 5 dias
49;Transformação digital é um processo de mudar pessoas, diz espec...;"... é atrair e reter os melhores talentos. A transformação digital está afetando todos os negócios, não apenas empresas de tecnologia... a transformação digital?
	O grande desafio é fazer a transformação digital acontecer. Para isso, são necessárias mudanças. Eu gosto...";22/05/2019 12h42
50;Transformação digital e os desafios da educação na América Lati...;"...
	
		Educação: como a América Latina vai se preparar para a transformação digital do mundo? (Foto: Reprodução/Pexel)
	
		São... muitos os desafios que as empresas e instituições terão de enfrentar nos próximos anos para se adequarem à transformação digital. Sob...";26/04/2019 17h54
51;Empresas discutem transformação digital, mas falta capacidade d...;"... e até dos executivos (Foto: Reprodução/Pexel)

	 

	A transformação digital está na pauta das empresas brasileiras, mas ainda falta... transformação digital da consultoria e dos seus clientes. 

	saiba mais
	
			Transformação digital é um processo de mudar pessoas, diz...";26/07/2019 06h31
52;Uma nova mentalidade de transformação digital;"....

	Portanto, para liderarem processos de transformação digital e inovação dos seus negócios, os líderes precisarão ir além dos modelos...
	O pensamento tradicional pode se tornar irrelevante no mundo digital (Foto: Thinkstock)

	 

	
	Você sabe como avaliar o modelo...";04/10/2018 16h22
53;O maior desafio das empresas na transformação digital? A relaçã...;"...)

	 

	Transformação digital está na agenda de grande parte das empresas. Mas se enganam aquelas que acreditam que esse é o único...”.

	saiba mais
	
			O que Carrefour, Itaú Unibanco e Nestlé pensam – e fazem – sobre transformação digital
Transformação digital...";22/04/2019 10h44
54;O que eu aprendi sobre transformação digital viajando pela Chin...;..., multinacional brasileira responsável pela transformação digital de grandes empresas...., produtos e serviços, inteligência artificial, data e digital payment, entre outros - e não apenas copiando um modelo. As empresas...;03/07/2019 07h01
55;Ela comanda a transformação digital da Coca-Cola na América Lat...;"... as outras sedes da Coca-Cola na América Latina a avançar na transformação digital — o que a executiva já fez no Brasil. Há 11 anos... de gerente júnior interativo de marketing a vice-presidente de transformação digital.

	QUESTIONE-SE
	“Minha vinda para cá aconteceu...";24/02/2019 08h01
56;Carrefour compra sites de comida e receitas por transformação d...;"... e Mais Equilíbrio. O Grupo Carrefour afirma que esse é mais um passo na estratégia de transformação digital da companhia.

	saiba mais...
	
			Um quarto das empresas no Brasil ignora a transformação digital, aponta pesquisa
	

	De acordo com o grupo, o principal...";22/02/2019 21h25
57;Transformação digital leva Itaú a mudar avaliação de desempenho;".../Reuters)

	 

	O processo de transformação digital no Itaú Unibanco está levando a mudanças profundas no modelo de incentivo... discutir inovação aberta.

	+ Um quarto das empresas no Brasil ignora a transformação digital, aponta pesquisa

	De acordo...";22/02/2019 21h25
58;Por que parcerias com startups são o caminho mais curto para a ...;"..., essas são algumas das características das startups que ajudam as corporações a realizar a transformação digital. As parcerias foram tema... demandas com mais agilidade.

	saiba mais
	
			A transformação dá errado em 70% das empresas. O que fazer para evitar o fracasso...";15/05/2019 20h45
59;Automação de processos é a principal dificuldade das empresas b...;"... a transformação digital, segundo professor de Kellogg
		
			""Estamos apenas no começo da transformação digital da indústria""
	

	Apesar.... O dado é preocupante, uma vez que o nível baixo de automação pode prejudicar o processo de transformação digital...";21/03/2019 17h29
60;O que Carrefour, Itaú Unibanco e Nestlé pensam – e fazem – sobr...;"...
	Cesar Gon, CEO da CI&T, Carolina Sevciuc, diretora de Transformação Digital da Nestlé, Paula Cardoso, CEO do Carrefour... em relação ao tema, enquanto outras estão mais atrasadas, mas é praticamente impossível ficar alheio à transformação digital no...";04/04/2019 17h28
61;Transformação Digital em serviços financeiros: o caminho para f...;"... a equipe interna para funções puramente estratégicas. Porém, é importante destacar que toda essa Transformação Digital só tem sido... Artificial.
	“O uso de Cloud Computing está viabilizando a Transformação Digital de uma maneira eficiente, consistente, rápida...";25/03/2019 17h43
62;Como Israel e Índia estimulam a transformação digital;"...
	
			 
	Taj Mahal, na Índia. O país incentiva projetos de identificação digital (Foto: Thinkstock)

	 

	De um lado, um pequeno... digital de centenas de milhares de pessoas. As credenciais de Israel e Índia, respectivamente, mostram exemplos práticos...";06/08/2018 19h11
63;A transformação digital é questão de sobrevivência, afirma Cris...;"...
	Cristina Palmaka, da SAP (Foto: Rogerio Albuquerque)

	 

	A transformação digital é uma questão de sobrevivência para empresas... abaixo alguns dos principais momentos da conversa.

	saiba mais
	
			Um quarto das empresas no Brasil ignora a transformação digital...";22/02/2019 21h25
64;4 estratégias para a transformação digital, segundo professor d...;"... da Kellogg School of Managament.

	saiba mais
	
			Um quarto das empresas no Brasil ignora a transformação digital, aponta pesquisa... da Fundação Dom Cabral, que o primeiro passo para realizar uma transformação digital é instituir um ""centro de excelência...";22/02/2019 21h25
65;Um quarto das empresas no Brasil ignora a transformação digital...;... que praticamente um quarto das companhias (24,7%) não acha que a transformação digital seja relevante, enquanto apenas 4% estão... em relação à transformação digital em cinco níveis. E, embora três quartos delas se encontrem nos três níveis superiores, na prática...;12/02/2019 19h01
66;Reunimos 16 CEOs e fundadores de startups para falar sobre o fu...;"... sobre o futuro dos negócios - e como sobreviver à transformação digital. Diversidade, segurança digital, e-commerce, drones... sustentável; Marcos Fisbhen, do Descomplica, e Rodrigo Galindo, da Kroton, sobre educação na era digital; Max Oliveira...";15/01/2019 18h29
67;Denatran oferece função de pagamento de multas por aplicativo;".... A nova função foi anunciada nesta segunda-feira (21) pelo Departamento Nacional de Trânsito (Denatran).

	“A transformação digital...
	Carteira digital (Foto: Marcello Casal Jr/ Agência Brasil)

	 

	A carteira digital de trânsito (CDT) tem nova função. A partir...";21/09/2020 19h57
68;"""A agenda da sustentabilidade é intrinsecamente uma agenda de p...";"... está usando inteligência artificial para aumentar a produtividade do campo. ""Transformação digital tem tudo a ver com sustentabilidade... da Festo Brasil, e Almir Araújo Silva, head de agricultura digital da BASF América Latina. O evento tem Época NEGÓCIOS como parceira...";25/09/2020 13h55
69;Conflito positivo é necessário em tempos de transformação digit...;... maioria das corporações no Brasil está passando pela transformação digital, como que não vai ter conflito? Transformação = Conflito. Aí...;21/06/2018 12h52
70;Mais contratações e investimentos maiores: para startups do Cub...;"..., com tecnologias como reconhecimento facial e automação.

	Além disso, as startups se beneficiaram da aceleração da transformação digital... a transformação digital. E o Brasil continua com grandes desafios que podem ser solucionados por meio da tecnologia.

	Outro ponto...";25/09/2020 08h56
71;"""A transformação digital não é uma evolução, é uma revolução""";"... International, foi categórico: ""A transformação digital não vai esperar. Não é uma evolução, é uma revolução"". Segundo ele, já... por uma ""revolução digital"". E é preciso agir se elas não quiserem ficar para trás. Nesta quarta-feira (04/10), executivos discutiram...";04/10/2017 19h32
72;Duratex lança plataforma para incentivar funcionários a inovar;"... de transformação digital do Grupo FCamara. ""A plataforma quer transformar isso em algo mais horizontal. Um canal para que todos na hierarquia... retorno mata o engajamento.""

	Kléber Santos, sócio e vice-presidente de transformação digital da FCamara (Foto: Divulgação/FCamara...";23/09/2020 14h44
73;A vez das PMEs na era da transformação digital;"...? É preciso reformular o cardápio? A transformação digital permite que o empreendedor encare essas questões e tome decisões estratégicas... e oportunidades de um mundo cada vez mais digital.

	Tornar essa transição mais simples e acessível é uma das metas que vêm...";29/01/2018 18h19
74;Juros baixos, investimento privado e coordenação política: o qu...;"... de outubro. A live também revelou o nome de mais três vencedoras do anuário Época NEGÓCIOS 360º.

	saiba mais
	
			Transformação... digital e home office: uma conversa entre Jorge Paulo Lemann e Pedro Moreira Salles
		
			Como a pandemia afetou a saúde mental...";25/09/2020 15h43
75;Para ter sucesso na experiência do cliente, é preciso inovar;"...
	Onono: Centro de Experiências Científicas e Digitais da BASF (Foto: Divulgação)

	 

	A experiência do cliente já se consolidou... as tecnologias para acompanhar o ritmo do mundo em transformação dos dias de hoje. “Se uma empresa quer ter sucesso com o seu produto, precisa...";27/09/2020 13h05
76;Os próximos desafios da nova CEO da divisão agrícola da Bayer;"... e transformação digital no agronegócio brasileiro. 

	Como parte dessa missão, a executiva fala sobre a importância de ter as startups...? Porque precisamos avançar nesse jogo da transformação digital"", diz Malu.

	saiba mais
	
			Por que a Bayer decidiu criar um programa...";24/09/2020 19h32
77;"Capgemini vai realizar ""transformação digital"" na Yara";"... Capgemini informou nesta terça-feira, 29, que entrou em um acordo plurianual para realizar uma ""transformação digital"" na empresa...";29/05/2018 12h43
78;"""Estamos apenas no começo da transformação digital da indústria...";"... tecnologias mapeadas pela Next47, a transformação digital e o futuro da manufatura. 

	Na Feira de Hannover, a impressora 3D... em transformação digital, independentemente da indústria, estamos completamente no começo dessa história. Há algumas tecnologias...";14/05/2018 14h53
79;Google Cloud lança 2ª edição de treinamento gratuito de computa...;"... durante a pandemia do novo coronavírus. ""A crise acelerou a transformação digital de muitas empresas. No Brasil, por exemplo, existe... edição] espetacular. Por isso, vamos lançar o segundo treinamento — desta vez, em formato digital"", diz Eduardo López, presidente...";24/09/2020 09h30
80;Por que os profissionais não devem temer a transformação digita...;"... em transformação digital dentro das empresas, muitas relutam em aceitar novos processos — inclusive por medo de perder seus postos de trabalho...
	
			""A transformação digital não é uma evolução, é uma revolução""
		
			Como 4 CEOs de empresas de telecomunicação enxergam a revolução digital...";06/10/2017 09h04
81;O bilionário que doou sua fortuna para não 'morrer rico';"..., a transformação digital do dinheiro
	

	Charles F. Feeney nasceu em 1931 em Elizabeth, Nova Jersey, justamente na época da Grande Depressão...";há 5 dias
82;CI&T estreia no Cubo com mentoria para transformação digital;... a ter, em breve, acesso a um “centro de design estratégico” para dar a elas mentoria em transformação digital. O espaço será levado... ao prédio e gerido pela CI&T, multinacional brasileira que auxilia empresas a implementar tecnologias e a cultura digital...;06/08/2018 17h37
83;Transformação digital aproxima grandes empresas de startups;...-se uma grande empresa – enfrenta um problema ou busca soluções no mundo digital, o processo da busca pela solução ideal tem início... mercado incluindo até safari digital, em que executivos visitam startups e aceleradoras proeminentes no Vale do Silício, em Israel...;07/12/2017 11h43
84;Registro digital de veículo está disponível em todo o país;"... à Carteira Nacional de Habilitação (CNH).

	“Essa é uma revolução de décadas, uma verdadeira transformação digital proposta...
	Registro digital de veículo está disponível em todo o país (Foto: Marcelo Camargo via Agência Brasil)

	 

	A versão digital...";02/07/2020 08h35
85;Varejo alimentar vive momento de transformação digital, diz pre...;... Estermann, disse nesta terça-feira, 08/05, que o varejo alimentar passa por um momento de transformação digital significativo. Segundo...;08/05/2018 15h03
86;Coronavírus: entrega em até 6 horas, loja ambulante e outras in...;"...
	
			Coronavírus: Nubank e Easynvest falam sobre como foi negociar uma aquisição em meio à pandemia
		
			Coronavírus: a transformação... digital de uma empresa de educação para dentro e para fora
	

	Para recuperar o fôlego financeiro, a rede criou uma série de iniciativas...";18/09/2020 20h09
87;Localiza e Unidas anunciam fusão e criam gigante da locação de ...;"... e da Localiza discutem importância da transformação digital em live gratuita
	

	Os acionistas da Unidas receberão 0,44682380...";23/09/2020 09h40
88;Brasileira CI&T investe US$ 2 mi em espaço de transformação dig...;"... de empresas parceiras, em que foram debatidos os desafios para se implementar a transformação digital nas companhias brasileiras....

	saiba mais
	
			Uber chefe: o estilo do CEO da empresa mais ousada do Vale do Silício
		
			Transformação digital leva Itaú a mudar...";28/08/2018 16h41
89;Brasileira Vitru corta faixa de preço e números de ações em IPO...;"... suas ações na quarta-feira.

	+ Coronavírus: a transformação digital de uma empresa de educação para dentro e para fora

	A empresa...";17/09/2020 10h52
90;Coronavírus: como será o futuro da mobilidade no pós-pandemia, ...;"...
	
			Coronavírus: a transformação digital de uma empresa de educação para dentro e para fora
		
			Coronavírus: os planos da indústria...: 

	

	 

	Quer conferir os conteúdos exclusivos edição de Setembro/2020 de Época NEGÓCIOS? Tenha acesso à versão digital.

	Quer receber...";16/09/2020 20h59
91;Petrobras prevê ganhos com implantação de réplicas digitais em ...;"... nesta quinta-feira o diretor de Transformação Digital e Inovação da empresa, Nicolás Simone.

	saiba mais
	
			Petrobras anuncia... de transformação digital, disse Simone, que deverá liderar os próximos passos em busca de resultados do lado operacional.

	""Para a Petrobras...";31/10/2019 14h32
92;O que esperar do futuro da educação;"..., acreditam os participantes do debate. “A pandemia acelerou a transformação digital. Estamos discutindo o futuro próximo...)

	A educação passa hoje pela maior transformação desde Gutenberg. A avaliação é de Daniel Castanho, presidente do conselho...";17/09/2020 14h25
93;Bolsonaro: Seguimos comprometidos com acordos comerciais entre ...;"... de ""tradição protecionista"" e ""passa a ter na abertura comercial a ferramenta indispensável de crescimento e transformação... as práticas mundiais mais elevadas em todas as áreas, desde a regulação financeira até os domínios da segurança digital e da proteção...";22/09/2020 12h23
94;Novo presidente do Banco do Brasil, André Brandão, toma posse n...;"... a participarem do evento.

	Brandão assume o cargo com o desafio de preparar o BB para a transformação digital e enfrentar...";22/09/2020 11h07
95;Donas de shoppings investirão menos em expansão e mais em canai...;"...
	Donas de shoppings investirão menos em expansão e mais em canais digitais  (Foto: the_burtons via Getty Images... digitais"", ressaltou o presidente da BRMAlls, Ruy Kameyama.

	saiba mais
	
			Fluxo de pessoas em lojas físicas sobe 194% em junho...";09/07/2020 15h42
96;O hacker que vendeu sua startup para a Embraer;"... de ataques. No médio e longo prazo, à medida que a covid estimula a transformação digital, a digitalização da economia, isso puxa... uma conta bancária, sem ver o meu cliente? A transformação digital na sociedade acaba puxando a cibersegurança.

	NEGÓCIOS Como a venda...";21/09/2020 06h02
97;Como construir melhores comportamentos para ter melhores result...;"... compreensão, há muito mais processos de transformação que todos nós estamos experimentando.

	saiba mais
	
			Por que você deve... de pertencimento por meio digital. Adquirimos novos comportamentos.

	À medida que passamos por esses processos, somos testados...";24/09/2020 08h44
98;Governo diz que adoção de 5G obedecerá critério de 'soberania, ...;"..."", afirmou o secretário, em participação no Painel Telebrasil 2020.

	Costa avaliou que a transformação digital das empresas...";15/09/2020 14h06
