titulo;description;data
Brasileiro Fernando Machado é terceiro na lista dos CMOs mais influentes do mundo;Marcel Marcondes, da Anheuser-Busch também aparece no ranking da Forbes de líderes globais de marketing […];2 de outubro de 2020
Ricardo Carvalho, da G2 Capital, fala sobre venture capital no Brasil, nova estratégia e founders na pandemia;Para o investidor, a empresa não é o negócio, mas sim o empreendedor […];2 de outubro de 2020
EXCLUSIVO: Pixeon compra BoaConsulta para expandir operação;Com a integração das plataformas, companhia terá acesso à jornada completa do paciente […];25 de setembro de 2020
EXCLUSIVO: Nicolas Baretzki, CEO da Montblanc, fala sobre novo momento da grife;Para o executivo, a nova geração de consumidores busca, além dos produtos, identificação com as marcas […];23 de setembro de 2020
América Latina tem mais mulheres na liderança em tecnologia - mas ainda é pouco;Porcentagem é significativamente maior do que os 4% de representatividade feminina nestas funções em países como o Reino Unido […];22 de setembro de 2020
Blockchain e o Setor Público, Conecta Brasil 2020, II CONEMP, CriAtivar & Muito Mais;Acompanhe os próximos webinars, lives e webcasts […];21 de setembro de 2020
Em entrevista à Forbes, Arianna Huffington fala sobre sua tecnologia para melhorar a saúde mental;Quase toda a força de trabalho da SAP no Brasil já tem acesso ao app da Thrive Global […];16 de setembro de 2020
Google pretende operar totalmente com energia livre de carbono até 2030;CEO Sundar Pichai disse a informação com base em meta anterior de tornar o uso de energia 100% renovável […];14 de setembro de 2020
EXCLUSIVO: Apto tem faturamento 43% maior em julho e agostov;Com a ajuda da tecnologia, plataforma de imóveis cresceu dois dígitos na comparação como o mesmo período do ano passado […];14 de setembro de 2020
Chamada ANPEI e EMBRAPII, CONTEAD, StartupOn Norte, Kenoby Talks, Ciberataques & Muito Mais;Acompanhe os próximos webinars, lives e webcasts […];14 de setembro de 2020
Forbes 400: as mulheres mais ricas dos Estados Unidos em 2020;As 56 mulheres da lista de 2020 têm mais fortuna hoje do que em todos os anos anteriores […];14 de setembro de 2020
Grupo Ser Educacional assina contrato para aquisição das operações da Laureate no Brasil;A negociação deve criar o quarto maior grupo de ensino superior do Brasil […];13 de setembro de 2020
Neymar assina contrato com Puma;Jogador passará a usar chuteiras da marca após encerramento do acordo com a Nike […];12 de setembro de 2020
LVMH cancela oferta de compra da Tiffany & Co.;Conglomerado de luxo alega ameaça de taxação sobre produtos franceses que chegam nos Estados Unidos para desfazer negócio de US$ 16,2 bilhões […];9 de setembro de 2020
Brasscom lança manifesto por reforma tributária ampla e inteligente;Entidade, que agrega empresas do setor de tecnologia da informação e comunicação, propõe o fim da colcha de retalhos dos impostos no país […];8 de setembro de 2020
Mentoria com Tallis Gomes, SAP NOW Brasil, LGPD, Mobilidade, Smart Cities & Muito Mais;Acompanhe os próximos webinars, lives e webcasts […];7 de setembro de 2020
Itaú é marca mais valiosa de 2020 no ranking da Kantar/WPP;Avaliado em US$ 8,2 bilhões, banco ocupa o topo da lista pela primeira vez em 14 anos […];4 de setembro de 2020
T-commerce, machine learning, abordagem multiplataforma: Globo aposta em adtech para conectar consumidores e marcas;"Um dos objetivos é impulsionar o consumo em datas como a Black Friday
[…]";27 de agosto de 2020
As empresas que mais praticam inovação aberta no Brasil;Plataforma 100 Open Startups analisou mais de 1.600 companhias em 24 setores […];25 de agosto de 2020
PIX, Saúde, Due Diligence, Score Summit, IoT, Open Innovation, Nexus Summit, YOUPIX Summit e mais;Acompanhe os próximos webinars, lives e webcasts […];24 de agosto de 2020
"Rafael Segrera, da Schneider Electric, sobre o papel da sustentabilidade na reinvenção das empresas pós-Covid-19: ""Agora é a hora de agir""";Segundo a Universidade de Oxford, o esgotamento dos recursos do planeta pode levar a uma queda no PIB global entre 2,5% a 7,5% nos próximos 30 anos […];20 de agosto de 2020
As 10 maiores transformações digitais de 2020: conclusões do pós-pandemia;A quarentena forçada pela Covid-19 acelerou a necessidade da tecnologia para garantir a sobrevivência das empresas […];18 de agosto de 2020
Cibersegurança, PIX, LGPD, agronegócio, varejo, educação, open banking, cannabis, venture capital e muito mais;Acompanhe os próximos webinars, lives e webcasts […];17 de agosto de 2020
ESPECIAL INOVADORES NEGROS: 5 brasileiros que aceleram as maiores consultorias do mundo;Representatividade ainda é baixa, mas EY, Accenture, Deloitte, KPMG e PwC contam com bons exemplos em seus times de inovação […];14 de agosto de 2020
Camila Achutti fala sobre preconceito e empreendedorismo na computação;A fundadora e CEO da Mastertech revelou situações constrangedoras e falou sobre oportunidades da área […];14 de agosto de 2020
O futuro dos esportes: modelos híbridos para esportistas, atletas e times;Inteligência artificial, uso de dados e visão computacional vão ajudar não apenas os treinos, mas a análise da performance […];13 de agosto de 2020
Bayer anuncia Malu Nachreiner como nova líder da divisão agrícola no Brasil;Empresa é a primeira multinacional do setor a ter uma mulher no comando no país […];10 de agosto de 2020
Camila Farani: Durante pandemia Amazon tem o maior trimestre de vendas online de todos os tempos;Com a mudança no modo de consumo, a empresa conseguiu driblar a crise e gerar um crescimento de 49% […];10 de agosto de 2020
Inovação no Varejo, Produtos Digitais, Criança na Internet, Vendas Online, LGPD, CES 2021 e muito mais;Acompanhe os próximos webinars, lives e webcasts […];10 de agosto de 2020
Product Masterclass, Fintechs, Exponential, Agtechs, PIX, Cibersegurança, Mastering Innovation e mais;Acompanhe os próximos webinars, lives e webcasts […];3 de agosto de 2020
EXCLUSIVO: Qintess anuncia aquisição de empresa de analytics;Compra da CSC Brasil vai permitir a oferta de soluções de consultoria estratégica baseada em dados […];31 de julho de 2020
EXCLUSIVO: Cyrela lança Next Floor, plataforma de inovação que cria canal direto com empreendedores e startups;Construtora e incorporadora busca oxigênio para ganhar eficiência e definir tendências no setor […];22 de julho de 2020
Flávio Rocha: como a Riachuelo planeja criar um “superapp de moda”;O bilionário conversou com Antonio Camarotti e falou sobre trajetória de carreira e impactos da pandemia […];22 de julho de 2020
Investimentos, Saúde, Open Banking, MVP e Dados;Investimentos, Saúde, Open Banking, MVP e Dados […];14 de julho de 2020
Festival online Arena BlackRocks busca ampliar repertório de inovadores;Evento terá mais de 50 palestras simultâneas […];13 de julho de 2020
LGPD, Trabalho Pós-Pandemia, Campus Party e E-Commerce;Acompanhe os próximos webinars, lives e webcasts […];8 de julho de 2020
De volta ao trabalho, Cristina Junqueira revela como está sua rotina durante a pandemia;Após fim da licença-maternidade, cofundadora do Nubank retoma com foco em atravessar a tempestade, no cliente e na aceleração dos negócios […];29 de junho de 2020
Futurecom, AWS, Otimização de Sites, CIAB 2020 & Trend Micro Perspectives;Acompanhe os próximos webinars, lives e webcasts […];24 de junho de 2020
Futurecom, CIAB, Gestão de Pessoas, Agro 4.0, Financiamento de Startups, Saúde 5.0 & Inovação no Varejo;Acompanhe os próximos webinars, lives e webcasts […];23 de junho de 2020
Vitor Magnani: Práticas anticoncorrenciais nos meios de pagamento podem inibir startups;Na economia digital, dados se tornam o ativo mais importante para o sucesso dos negócios […];20 de junho de 2020
Tiago Albino, fundador e CEO do içougue, sobre os negócios na pandemia: “Era pivotar ou quebrar”;Empreendedor precisou voltar às origens para atravessar a crise […];19 de junho de 2020
Evento reúne empresários como Luiza Helena Trajano em rodada de palestras online;Nomes do programa Shark Tank Brasil e dos negócios se unem para arrecadar alimentos em maratona idealizada por Cris Arcangeli […];18 de junho de 2020
Games, Mercado Imobiliário, Fintechs, Dados, Resolução de Conflitos Online & Empreendedorismo;Acompanhe os próximos webinars, lives e webcasts […];18 de junho de 2020
EXCLUSIVO: Estudo mapeia HR Techs do Brasil e aponta enorme potencial de crescimento;Levantamento da Distrito constata que país tem 373 startups do tipo, que receberam apenas 2% dos investimentos feitos no mundo todo desde 2014 […];17 de junho de 2020
Carrefour e Google lançam serviço de compras para assistentes de voz;Varejista está no meio de uma reformulação global para aumentar as vendas e os lucros e, para isso, aposta na tecnologia […];16 de junho de 2020
“Precisamos sair da nossa bolha e transitar por outras realidades”, diz Luiz Fernando Musa sobre a crise;Em live da Forbes, CEO da Ogilvy Brasil fala sobre o posicionamento das marcas em tempos de pandemia […];16 de junho de 2020
Digibee recebe aporte de US$ 5 milhões;De malas prontas, startup brasileira vai levar sua solução de integração para o mercado norte-americano […];15 de junho de 2020
Lista 100 Maiores Empresas Doadoras do país contra o vírus é destaque da nova edição da Forbes Brasil;Revista traz a rede de solidariedade que já disponibilizou mais de R$ 5,4 bilhões contra a Covid-19 […];14 de junho de 2020
Fake News, Teachers in Tech, Inovação e Tecnologia & IoT;Acompanhe os próximos webinars, lives e webcasts […];8 de junho de 2020
João Lúcio, da Cognizant, sobre a crise: “É nos momentos de maior tensão e stress que as verdadeiras lideranças aparecem”;Latam Market Head e presidente no Brasil, executivo ressalta a importância da manutenção dos encontros com os colaboradores, ainda que virtuais […];5 de junho de 2020
Samsung Ocean, Ser Educacional, Agrofy & FGV;Acompanhe os próximos webinars, lives e webcasts […];4 de junho de 2020
Novas possibilidades, equilíbrio, retomada: como o AgTech Garage entrega inovação na crise;Ferramentas online já utilizadas antes da pandemia facilitou a migração para o home office […];3 de junho de 2020
Conheça as empresas que têm liderado a revolução do home office;CEOs como Jack Dorsey, do Twitter, e Mark Zuckerberg, do Facebook, decretaram a permanência do trabalho remoto após a Covid-19 […];2 de junho de 2020
Ame, da Lojas Americanas, faz parceria com Cielo para cashback;Programa vai devolver 5% do valor de cada transação […];27 de maio de 2020
IED, NIC.br, Brazil at Silicon Valley, Service IT e ThoughtWorks;Acompanhe os próximos webinars, lives e webcasts […];20 de maio de 2020
TrampaSampa, Instanteaser & eBay;Programas de aceleração, mentorias, financiamentos e plataformas colaborativas […];19 de maio de 2020
Instabilidade socioeconômica do Brasil testa resiliência de consultoria em tecnologia e inovação;"Consultores terão que se reinventar na crise para responder à insegurança causada por abordagem “desarticulada” do governo no combate à Covid-19
[…]";19 de maio de 2020
Conheça o centro da inteligência artificial no Brasil;São Carlos concentra um dos mais avançados polos tecnológicos do país […];16 de maio de 2020
Entenda como a HOPE está se adaptando ao atual cenário de crise;Sandra Chayo, diretora de marketing e estilo da marca, deu detalhes sobre as medidas da empresa para enfrentar a pandemia […];15 de maio de 2020
Natura &Co vê retomada gradual na Ásia e Europa;Empresa diz que Covid-19 deve atingir mais duramente os negócios na América Latina […];8 de maio de 2020
FORBES Insider: Mães empreendedoras, comportamento online, Rappi, EMBRAPII, Pinterest;Realidade das mulheres com filhos durante a pandemia de Covid-19 se tornou ainda mais desafiadora […];7 de maio de 2020
FORBES Insider: Totvs, Amyi, app de rastreamento, 99Food;Chairman da empresa de software diz que o mundo nunca viveu algo que demandasse tanta infraestrutura em um curto espaço de tempo […];5 de maio de 2020
Empresa financiada por Bill Gates pode revolucionar o desenvolvimento farmacêutico;A Schrodinger usa tecnologia para melhorar processos na área de remédios e teve sucesso em IPO […];5 de maio de 2020
FORBES Insider: Hotmart, Loft, Porto Digital, LGPD;Executivo diz que, em uma situação como a que estamos vivendo, é importante ter sensibilidade para desenhar opções e entender quais adaptações serão necessárias […];30 de abril de 2020
FORBES Insider: Onii, Numenu, Conselho da Europa, privacidade, Chevrolet;Modelo de negócio surfa na onda das restrições de contato impostas pela pandemia de Covid-19 […];29 de abril de 2020
FORBES Insider: Passaporte da Saúde, Educação à Distância, Embrapa, 99;Recurso faz parte de um conjunto de propostas do setor de tecnologia para o enfrentamento da Covid-19 […];28 de abril de 2020
FORBES Insider: Resultados Digitais, Neon, Bayer, Loft;Executivo diz que empresa agiu rápido para preservar o time e colocando todos em home office antes de qualquer indicação governamental […];24 de abril de 2020
FORBES Insider: Nestlé, influenciadores digitais, IBM, Magalu;Marketplace de bolo criado pela multinacional registra 500% de crescimento em março […];23 de abril de 2020
Amália Sechis: “Se você tiver um objetivo, tudo fica mais fácil”;Sócia-fundadora do Beef Passion fala sobre o desafio de mudar a forma de consumo de carne no Brasil […];22 de abril de 2020
FORBES Insider: Agrofy, Bayer, 500 Startups, Paypal;"Novas demandas do setor vão acelerar a adoção de recursos como marketplaces
[…]";22 de abril de 2020
Fabio Faccio, CEO da Renner, desmente fake news sobre fechamento das lojas físicas;"Executivo acredita que o futuro do varejo será cada vez mais omnichannel, com interação crescente entre o online e presencial
[…]";21 de abril de 2020
O poder da adaptação: como a Vittude continua crescendo em meio à crise;A CEO da empresa de terapia online Tatiana Pimenta conversou com Fabiana Scaranzi em em entrevista para a Forbes Brasil […];17 de abril de 2020
FORBES Insider: Comércio eletrônico, Eventbrite, Amaro, Totvs;Para especialista, a humanização nos relacionamentos entre consumidores e marcas é o principal desafio imposto pela pandemia […];15 de abril de 2020
Forbes Insider: SAS, Zenvia, Nimbi, MarketUP, Mercer;Com crescimento de 24% em 2019, empresa de soluções analíticas reconhece que metas para 2020 terão que ser revistas […];13 de abril de 2020
Forbes Insider: Tinder, happn, Dating, L’Oreal, Rock Content;Dating, Tinder e happn registram aumento no número de mensagens e no tempo das conversas […];7 de abril de 2020
Forbes Insider: Loft, streaming, Quero Educação, coronavoucher,;Fundador da proptech fala sobre os desafios impostos pela pandemia de Covid-19 […];3 de abril de 2020
Nina Silva: “a tecnologia existe para o impacto social”;Sócia fundadora do Movimento Black Money fala sobre como atua para dar mais visibilidade aos profissionais da comunidade negra […];31 de março de 2020
Forbes Insider: Neon, Hotmart, Porto Digital, LGPD;Prazo poderá chegar a 24 vezes, em vez das atuais 12 […];31 de março de 2020
Leandro Barankiewicz: Tenha um problema para resolver;CEO da SouthRock Lab fala sobre como foi se tornar o primeiro unicórnio do Brasil […];24 de março de 2020
Por que inovar é chave em momentos conturbados;Em entrevista a Tiago Alves, Gustavo Muller, CEO da Monkey Exchange, fala sobre os benefícios da tecnologia […];17 de março de 2020
CultureCrush aposta no Brasil para expandir aplicativo de paquera para negros;Fundadora da plataforma explica que usuários brasileiros se sentem representados pela iniciativa […];10 de março de 2020
CVC Brasil dispara após trocar comando e ação despencar mais de 50% em 2020;Papéis têm alta de 16%, sinal de que o mercado aprovou a mudança […];6 de março de 2020
5 dicas para uma startup conseguir um investimento seed;Do relacionamento com os fundos à estrutura societária, veja como aumentar as chances de receber um aporte inicial […];4 de março de 2020
Como a tecnologia vai mudar o jeito de morar no Brasil;Alexandre Frankel, CEO da VITACON, conta sua história e como a empresa tem revolucionado a habitação  […];3 de março de 2020
“Não temos vergonha dos carboidratos e das calorias”, diz Carlos Eduardo Martins, CEO da Domino’s Brasil;Rede de pizzarias celebra a abertura da 300ª loja no país, com plano para chegar a 650 até 2023 […];28 de fevereiro de 2020
"Efeito do coronavírus no setor de tecnologia será ""passageiro e localizado""";Vendas de computadores e equipamentos de comunicação serão afetadas, mas um impacto expressivo no setor é improvável, segundo a Forrester […];21 de fevereiro de 2020
Microsoft investirá US$ 1,1 bi no México nos próximos 5 anos, diz CEO;"Satya Nadella disse que o investimento “está focado na expansão do acesso à tecnologia digital”
[…]";20 de fevereiro de 2020
EXCLUSIVO: Loft lança programa de licença paternidade de seis meses para colaboradores;Startup iguala direito de homens e mulheres e estabelece afastamento compulsório de, pelo menos, dois meses para eles […];12 de fevereiro de 2020
